input,output
intent: say location: dining area person: Maria intent: answer content: quiz,navigate to dining area -> greet_person Maria at dining area -> navigate to operator -> answer_question
intent: follow location: terrace person: Pablo,navigate to terrace -> guide_person Pablo to terrace
intent: look location: dining area filter: lying person: person intent: answer content: quiz,navigate to dining area -> detect_person with pose lying at dining area -> navigate to operator -> answer_question
intent: tell location: on the side table attribute: lightest,navigate to on the side table -> detect_object lightest at on the side table -> describe_property -> navigate to operator -> tell
intent: find location: balcony filter: standing person: person intent: follow,navigate to balcony -> detect_person with pose standing at balcony -> guide_person
intent: tell location: on the desk attribute: smallest,navigate to on the desk -> detect_object smallest at on the desk -> describe_property -> navigate to operator -> tell
intent: greet location: kitchen filter: wearing person: black sweater intent: take location: bedroom,navigate to kitchen -> greet_person black sweater with wearing at kitchen -> navigate to bedroom -> grasp
intent: tell object: can location: on the garden table,navigate to on the garden table -> count can at on the garden table -> navigate to operator -> tell
intent: greet location: drinks bar person: Pablo intent: follow location: dining area,navigate to drinks bar -> greet_person Pablo at drinks bar -> navigate to dining area -> guide_person to dining area
intent: tell object: mug location: on the shelf,navigate to on the shelf -> count mug at on the shelf -> navigate to operator -> tell
intent: follow location: dining area person: Charlie,navigate to dining area -> guide_person Charlie to dining area
intent: tell object: cup location: on the desk,navigate to on the desk -> count cup at on the desk -> navigate to operator -> tell
intent: tell location: drinks bar filter: wearing person: black shirts,navigate to drinks bar -> detect_person with wearing at drinks bar -> describe_property -> navigate to operator -> tell
intent: bring object: magazine location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver magazine to me
intent: follow location: desk filter: lying person: person,navigate to desk -> guide_person person to desk
intent: navigate location: terrace intent: look object: toys intent: take intent: put location: on the counter,navigate to terrace -> detect_object toys -> grasp -> navigate to on the counter -> place at on the counter
intent: meet location: balcony person: Eva intent: answer content: quiz,navigate to balcony -> meet_person Eva at balcony -> navigate to operator -> answer_question
intent: locate object: key location: bedroom intent: fetch intent: give location: bedroom recipient: Grace,navigate to bedroom -> detect_object key at bedroom -> navigate to bedroom -> deliver key to Grace
intent: tell location: study content: name person: person,navigate to study -> tell name
intent: tell object: book location: on the shelf,navigate to on the shelf -> count book at on the shelf -> navigate to operator -> tell
intent: tell location: study filter: sitting,navigate to study -> detect_person with pose sitting at study -> describe_property -> navigate to operator -> tell
intent: tell object: remote location: on the side table,navigate to on the side table -> count remote at on the side table -> navigate to operator -> tell
intent: meet location: study person: Ingrid intent: answer content: quiz,navigate to study -> meet_person Ingrid at study -> navigate to operator -> answer_question
intent: tell object: mug location: on the desk,navigate to on the desk -> count mug at on the desk -> navigate to operator -> tell
intent: find location: dining area filter: pointing person: person intent: guide location: workshop,navigate to dining area -> detect_person with pose pointing at dining area -> navigate to workshop -> guide_person to workshop
intent: give object: plate location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver plate to me
intent: take location: garage filter: wearing person: yellow coat,navigate to garage -> grasp
intent: tell location: on the desk attribute: largest,navigate to on the desk -> detect_object largest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: study content: pose person: person,navigate to study -> tell pose
intent: bring object: phone location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver phone to me
intent: say location: terrace filter: waving content: day person: person,navigate to terrace -> greet_person person with waving at terrace
intent: tell object: book location: on the counter,navigate to on the counter -> count book at on the counter -> navigate to operator -> tell
intent: answer location: living room filter: left arm content: question person: person,navigate to living room -> detect_person with left arm at living room -> navigate to operator -> answer_question
intent: look object: bowl location: laundry room intent: get intent: place location: on the desk,navigate to laundry room -> detect_object bowl at laundry room -> grasp -> navigate to on the desk -> place at on the desk
intent: meet location: terrace person: Ingrid intent: locate location: patio,navigate to terrace -> meet_person Ingrid at terrace -> navigate to patio
intent: tell object: cups location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest cups at on the shelf -> describe_property -> navigate to operator -> tell
intent: lead location: workshop filter: wearing person: white shirt,navigate to workshop -> guide_person white shirt to workshop
intent: look object: books location: living room intent: fetch intent: bring location: living room filter: waving recipient: person,navigate to living room -> detect_object books at living room -> navigate to living room -> deliver books to person
intent: say location: garage filter: right arm content: yourself person: person,navigate to garage -> greet_person person with right arm at garage
intent: fetch object: remotes location: desk intent: put location: on the shelf,navigate to desk -> detect_object remotes at desk -> navigate to on the shelf -> place at on the shelf
intent: tell location: living room content: gesture person: person,navigate to living room -> tell gesture
intent: navigate location: dining area intent: locate object: bottle intent: fetch intent: place location: on the shelf,navigate to dining area -> detect_object bottle -> navigate to on the shelf -> place at on the shelf
intent: introduce location: terrace person: Alice intent: follow location: closet,navigate to terrace -> introduce_person -> navigate to closet -> guide_person to closet
intent: find object: books location: hallway intent: take intent: give recipient: me,navigate to hallway -> detect_object books at hallway -> grasp -> deliver books to me
intent: meet location: garden person: Eva intent: find location: garden,navigate to garden -> meet_person Eva at garden -> navigate to garden
intent: tell location: on the shelf attribute: lightest,navigate to on the shelf -> detect_object lightest at on the shelf -> describe_property -> navigate to operator -> tell
intent: follow location: hallway filter: left arm person: person,navigate to hallway -> guide_person person to hallway
intent: tell object: magazine location: on the desk,navigate to on the desk -> count magazine at on the desk -> navigate to operator -> tell
intent: meet location: office person: Frank intent: say content: day,navigate to office -> meet_person Frank at office -> greet_person
intent: get object: bottle location: garden table intent: bring location: bathroom filter: sitting recipient: person,navigate to garden table -> grasp -> navigate to bathroom -> deliver bottle to person
intent: introduce location: hallway person: Eva intent: follow,navigate to hallway -> introduce_person -> guide_person
intent: tell location: on the shelf attribute: smallest,navigate to on the shelf -> detect_object smallest at on the shelf -> describe_property -> navigate to operator -> tell
intent: meet location: laundry room person: Charlie intent: escort location: side table,navigate to laundry room -> meet_person Charlie at laundry room -> navigate to side table -> guide_person to side table
intent: locate object: phone location: terrace intent: get intent: bring recipient: me,navigate to terrace -> detect_object phone at terrace -> grasp -> deliver phone to me
intent: say location: bathroom filter: waving content: day person: person,navigate to bathroom -> greet_person person with waving at bathroom
intent: tell location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest at on the side table -> describe_property -> navigate to operator -> tell
intent: follow location: workshop person: Jack,navigate to workshop -> guide_person Jack to workshop
intent: tell object: cans location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest cans at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: side table content: pose person: person,navigate to side table -> tell pose
intent: look object: phone location: bathroom intent: take intent: bring location: bathroom recipient: Pablo,navigate to bathroom -> detect_object phone at bathroom -> grasp -> navigate to bathroom -> deliver phone to Pablo
intent: salute location: hallway person: Sam intent: follow,navigate to hallway -> greet_person Sam at hallway -> guide_person
intent: look object: pen location: bedroom intent: grasp intent: bring location: bedroom filter: sitting recipient: person,navigate to bedroom -> detect_object pen at bedroom -> grasp -> navigate to bedroom -> deliver pen to person
intent: greet location: drinks bar person: Jack intent: take location: study,navigate to drinks bar -> greet_person Jack at drinks bar -> navigate to study -> grasp
intent: grasp object: bottle location: garden table intent: deliver recipient: me,navigate to garden table -> grasp -> deliver bottle to me
intent: answer location: office filter: pointing content: question person: person,navigate to office -> detect_person with pose pointing at office -> navigate to operator -> answer_question
intent: give object: tablet location: desk recipient: me,navigate to desk -> grasp -> navigate to desk -> deliver tablet to me
intent: lead location: desk person: Diana,navigate to desk -> guide_person Diana to desk
intent: bring object: snack location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver snack to me
intent: escort location: garage person: Karen,navigate to garage -> guide_person Karen to garage
intent: tell location: on the desk attribute: lightest,navigate to on the desk -> detect_object lightest at on the desk -> describe_property -> navigate to operator -> tell
intent: follow location: laundry room person: Grace,navigate to laundry room -> guide_person Grace to laundry room
intent: tell object: cup location: on the shelf,navigate to on the shelf -> count cup at on the shelf -> navigate to operator -> tell
intent: follow location: study filter: standing person: person,navigate to study -> guide_person person to study
intent: go location: entrance intent: find object: notebook intent: get intent: deliver location: patio recipient: Alice,navigate to entrance -> detect_object notebook -> grasp -> navigate to patio -> deliver notebook to Alice
intent: take location: drinks bar filter: waving person: person,navigate to drinks bar -> grasp
intent: tell object: bottle location: on the garden table,navigate to on the garden table -> count bottle at on the garden table -> navigate to operator -> tell
intent: tell location: bathroom content: pose person: person,navigate to bathroom -> tell pose
intent: tell object: can location: on the garden table,navigate to on the garden table -> count can at on the garden table -> navigate to operator -> tell
intent: tell location: office filter: left arm content: day today person: person,navigate to office -> tell day today
intent: tell object: cups location: on the shelf attribute: heaviest,navigate to on the shelf -> detect_object heaviest cups at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: workshop filter: standing,navigate to workshop -> detect_person with pose standing at workshop -> describe_property -> navigate to operator -> tell
intent: get object: notebook location: counter intent: put location: on the garden table,navigate to counter -> grasp -> navigate to on the garden table -> place at on the garden table
intent: navigate location: hallway intent: meet person: Tom intent: follow location: drinks bar,navigate to hallway -> meet_person Tom -> navigate to drinks bar -> guide_person to drinks bar
intent: tell location: on the garden table attribute: heaviest,navigate to on the garden table -> detect_object heaviest at on the garden table -> describe_property -> navigate to operator -> tell
intent: locate location: hallway filter: standing person: person intent: follow location: storage room,navigate to hallway -> detect_person with pose standing at hallway -> navigate to storage room -> guide_person to storage room
intent: tell object: glass location: on the side table,navigate to on the side table -> count glass at on the side table -> navigate to operator -> tell
intent: lead location: terrace filter: wearing person: white coat,navigate to terrace -> guide_person white coat to terrace
intent: grasp object: mug location: desk intent: put location: on the garden table,navigate to desk -> grasp -> navigate to on the garden table -> place at on the garden table
intent: answer location: workshop filter: waving content: quiz person: person,navigate to workshop -> detect_person with pose waving at workshop -> navigate to operator -> answer_question
intent: tell location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest at on the counter -> describe_property -> navigate to operator -> tell
intent: meet location: terrace person: Pablo intent: answer content: quiz,navigate to terrace -> meet_person Pablo at terrace -> navigate to operator -> answer_question
intent: go location: terrace intent: locate object: books intent: get intent: give location: balcony filter: standing recipient: person,navigate to terrace -> detect_object books -> grasp -> navigate to balcony -> deliver books to person
intent: tell location: garden table content: pose person: person,navigate to garden table -> tell pose
intent: look object: charger location: study intent: fetch intent: deliver location: study recipient: Pablo,navigate to study -> detect_object charger at study -> navigate to study -> deliver charger to Pablo
intent: locate location: garden filter: left arm person: person intent: say content: day tomorrow,navigate to garden -> detect_person with left arm at garden -> greet_person
intent: tell object: glass location: on the garden table,navigate to on the garden table -> count glass at on the garden table -> navigate to operator -> tell
intent: tell location: garden filter: wearing person: gray shirts,navigate to garden -> detect_person with wearing at garden -> describe_property -> navigate to operator -> tell
intent: bring object: phone location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver phone to me
intent: tell location: closet filter: left arm,navigate to closet -> detect_person with left arm at closet -> describe_property -> navigate to operator -> tell
intent: go location: desk intent: find object: plate intent: take intent: give location: living room recipient: Bob,navigate to desk -> detect_object plate -> grasp -> navigate to living room -> deliver plate to Bob
intent: answer location: dining area filter: pointing content: question person: person,navigate to dining area -> detect_person with pose pointing at dining area -> navigate to operator -> answer_question
intent: tell location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: dining area filter: wearing person: white blouses,navigate to dining area -> detect_person with wearing at dining area -> describe_property -> navigate to operator -> tell
intent: tell location: on the shelf attribute: thinnest,navigate to on the shelf -> detect_object thinnest at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: workshop filter: waving,navigate to workshop -> detect_person with pose waving at workshop -> describe_property -> navigate to operator -> tell
intent: tell object: snack location: on the shelf,navigate to on the shelf -> count snack at on the shelf -> navigate to operator -> tell
intent: say location: terrace person: Pablo intent: answer content: quiz,navigate to terrace -> greet_person Pablo at terrace -> navigate to operator -> answer_question
intent: navigate location: entrance intent: find object: plates intent: fetch intent: place location: on the garden table,navigate to entrance -> detect_object plates -> navigate to on the garden table -> place at on the garden table
intent: guide location: bathroom person: Karen,navigate to bathroom -> guide_person Karen to bathroom
intent: locate object: books location: kitchen intent: get intent: deliver location: kitchen filter: lying recipient: person,navigate to kitchen -> detect_object books at kitchen -> grasp -> navigate to kitchen -> deliver books to person
intent: navigate location: study intent: look filter: lying person: person intent: follow,navigate to study -> detect_person with pose lying -> guide_person
intent: tell object: cup location: on the garden table,navigate to on the garden table -> count cup at on the garden table -> navigate to operator -> tell
intent: tell location: entrance filter: wearing person: blue sweaters,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: look object: notebook location: study intent: grasp intent: give recipient: me,navigate to study -> detect_object notebook at study -> grasp -> deliver notebook to me
intent: follow location: garage person: Jack,navigate to garage -> guide_person Jack to garage
intent: tell location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest at on the garden table -> describe_property -> navigate to operator -> tell
intent: meet location: side table person: Grace intent: look location: garden,navigate to side table -> meet_person Grace at side table -> navigate to garden
intent: tell object: plate location: on the desk,navigate to on the desk -> count plate at on the desk -> navigate to operator -> tell
intent: tell location: study filter: wearing person: white sweaters,navigate to study -> detect_person with wearing at study -> describe_property -> navigate to operator -> tell
intent: tell object: glass location: on the garden table,navigate to on the garden table -> count glass at on the garden table -> navigate to operator -> tell
intent: escort location: drinks bar filter: wearing person: orange sweater,navigate to drinks bar -> guide_person orange sweater to drinks bar
intent: give object: key location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver key to me
intent: go location: office intent: locate filter: lying person: person intent: follow,navigate to office -> detect_person with pose lying -> guide_person
intent: take object: glasses location: side table intent: bring location: office filter: waving recipient: person,navigate to side table -> grasp -> navigate to office -> deliver glasses to person
intent: tell location: entrance filter: wearing person: blue blouses,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: navigate location: entrance intent: locate object: plate intent: grasp intent: bring location: closet filter: waving recipient: person,navigate to entrance -> detect_object plate -> grasp -> navigate to closet -> deliver plate to person
intent: take location: office person: Alice,navigate to office -> grasp
intent: get object: bottle location: desk intent: deliver location: kitchen recipient: Eva,navigate to desk -> grasp -> navigate to kitchen -> deliver bottle to Eva
intent: tell location: closet content: gesture person: person,navigate to closet -> tell gesture
intent: give object: snack location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver snack to me
intent: tell location: dining area filter: wearing person: red coats,navigate to dining area -> detect_person with wearing at dining area -> describe_property -> navigate to operator -> tell
intent: tell object: can location: on the shelf,navigate to on the shelf -> count can at on the shelf -> navigate to operator -> tell
intent: lead location: desk filter: wearing person: black blouse,navigate to desk -> guide_person black blouse to desk
intent: give object: glass location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver glass to me
intent: tell location: kitchen filter: left arm,navigate to kitchen -> detect_person with left arm at kitchen -> describe_property -> navigate to operator -> tell
intent: go location: living room intent: look object: cup intent: grasp intent: deliver location: drinks bar filter: sitting recipient: person,navigate to living room -> detect_object cup -> grasp -> navigate to drinks bar -> deliver cup to person
intent: tell location: patio filter: wearing person: red coats,navigate to patio -> detect_person with wearing at patio -> describe_property -> navigate to operator -> tell
intent: find object: magazines location: bedroom intent: get intent: put location: on the desk,navigate to bedroom -> detect_object magazines at bedroom -> grasp -> navigate to on the desk -> place at on the desk
intent: go location: kitchen intent: look filter: lying person: person intent: answer content: question,navigate to kitchen -> detect_person with pose lying -> navigate to operator -> answer_question
intent: navigate location: storage room intent: look object: bottles intent: fetch intent: place location: on the side table,navigate to storage room -> detect_object bottles -> navigate to on the side table -> place at on the side table
intent: say location: laundry room person: Karen intent: escort location: drinks bar,navigate to laundry room -> greet_person Karen at laundry room -> navigate to drinks bar -> guide_person to drinks bar
intent: fetch object: glasses location: desk intent: put location: on the shelf,navigate to desk -> detect_object glasses at desk -> navigate to on the shelf -> place at on the shelf
intent: say location: drinks bar filter: left arm content: day person: person,navigate to drinks bar -> greet_person person with left arm at drinks bar
intent: get object: magazine location: garden table intent: give location: hallway recipient: Eva,navigate to garden table -> grasp -> navigate to hallway -> deliver magazine to Eva
intent: follow location: dining area filter: right arm person: person,navigate to dining area -> guide_person person to dining area
intent: navigate location: garage intent: look object: books intent: grasp intent: deliver location: terrace recipient: Noah,navigate to garage -> detect_object books -> grasp -> navigate to terrace -> deliver books to Noah
intent: lead location: office filter: standing person: person,navigate to office -> guide_person person to office
intent: take object: glasses location: shelf intent: bring location: entrance filter: pointing recipient: person,navigate to shelf -> grasp -> navigate to entrance -> deliver glasses to person
intent: meet location: terrace person: Grace intent: follow location: bedroom,navigate to terrace -> meet_person Grace at terrace -> navigate to bedroom -> guide_person to bedroom
intent: tell object: toy location: on the counter,navigate to on the counter -> count toy at on the counter -> navigate to operator -> tell
intent: meet location: closet person: Maria intent: look location: bathroom,navigate to closet -> meet_person Maria at closet -> navigate to bathroom
intent: bring object: toy location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver toy to me
intent: lead location: closet filter: pointing person: person,navigate to closet -> guide_person person to closet
intent: tell object: mugs location: on the counter attribute: lightest,navigate to on the counter -> detect_object lightest mugs at on the counter -> describe_property -> navigate to operator -> tell
intent: take location: living room filter: left arm person: person,navigate to living room -> grasp
intent: take object: mugs location: shelf intent: bring recipient: me,navigate to shelf -> grasp -> deliver mugs to me
intent: meet location: bathroom person: Alice intent: locate location: garage,navigate to bathroom -> meet_person Alice at bathroom -> navigate to garage
intent: tell object: bottles location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest bottles at on the garden table -> describe_property -> navigate to operator -> tell
intent: locate location: closet filter: lying person: person intent: tell content: your teams country,navigate to closet -> detect_person with pose lying at closet -> tell your teams country
intent: locate object: plate location: drinks bar intent: fetch intent: place location: on the desk,navigate to drinks bar -> detect_object plate at drinks bar -> navigate to on the desk -> place at on the desk
intent: navigate location: office intent: meet person: Karen intent: answer content: quiz,navigate to office -> meet_person Karen -> navigate to operator -> answer_question
intent: navigate location: desk intent: locate object: glasses intent: grasp intent: deliver location: dining area recipient: Diana,navigate to desk -> detect_object glasses -> grasp -> navigate to dining area -> deliver glasses to Diana
intent: say location: living room filter: left arm content: day today person: person,navigate to living room -> greet_person person with left arm at living room
intent: tell location: on the garden table attribute: biggest,navigate to on the garden table -> detect_object biggest at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell location: side table content: pose person: person,navigate to side table -> tell pose
intent: tell object: toys location: on the counter attribute: lightest,navigate to on the counter -> detect_object lightest toys at on the counter -> describe_property -> navigate to operator -> tell
intent: tell location: dining area content: gesture person: person,navigate to dining area -> tell gesture
intent: tell object: plate location: on the side table,navigate to on the side table -> count plate at on the side table -> navigate to operator -> tell
intent: tell location: counter content: gesture person: person,navigate to counter -> tell gesture
intent: take object: cups location: shelf intent: put location: on the garden table,navigate to shelf -> grasp -> navigate to on the garden table -> place at on the garden table
intent: escort location: counter filter: wearing person: white t shirt,navigate to counter -> guide_person white t shirt to counter
intent: tell location: on the side table attribute: thinnest,navigate to on the side table -> detect_object thinnest at on the side table -> describe_property -> navigate to operator -> tell
intent: look location: office filter: standing person: person intent: follow,navigate to office -> detect_person with pose standing at office -> guide_person
intent: locate object: toys location: entrance intent: grasp intent: deliver recipient: me,navigate to entrance -> detect_object toys at entrance -> grasp -> deliver toys to me
intent: introduce location: kitchen person: Diana intent: answer content: question,navigate to kitchen -> introduce_person -> navigate to operator -> answer_question
intent: get object: plates location: desk intent: deliver recipient: me,navigate to desk -> grasp -> deliver plates to me
intent: navigate location: study intent: look filter: standing person: person intent: escort location: office,navigate to study -> detect_person with pose standing -> navigate to office -> guide_person to office
intent: go location: kitchen intent: find object: box intent: fetch intent: place location: on the side table,navigate to kitchen -> detect_object box -> navigate to on the side table -> place at on the side table
intent: tell location: drinks bar filter: lying,navigate to drinks bar -> detect_person with pose lying at drinks bar -> describe_property -> navigate to operator -> tell
intent: tell location: on the desk attribute: largest,navigate to on the desk -> detect_object largest at on the desk -> describe_property -> navigate to operator -> tell
intent: take location: kitchen filter: left arm person: person,navigate to kitchen -> grasp
intent: tell location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell location: laundry room filter: wearing person: red coats,navigate to laundry room -> detect_person with wearing at laundry room -> describe_property -> navigate to operator -> tell
intent: tell object: remote location: on the shelf,navigate to on the shelf -> count remote at on the shelf -> navigate to operator -> tell
intent: navigate location: desk intent: find filter: waving person: person intent: follow,navigate to desk -> detect_person with pose waving -> guide_person
intent: go location: patio intent: find object: cans intent: take intent: deliver recipient: me,navigate to patio -> detect_object cans -> grasp -> deliver cans to me
intent: answer location: dining area filter: pointing content: quiz person: person,navigate to dining area -> detect_person with pose pointing at dining area -> navigate to operator -> answer_question
intent: find object: cans location: storage room intent: take intent: put location: on the side table,navigate to storage room -> detect_object cans at storage room -> grasp -> navigate to on the side table -> place at on the side table
intent: answer location: hallway filter: left arm content: quiz person: person,navigate to hallway -> detect_person with left arm at hallway -> navigate to operator -> answer_question
intent: tell object: magazine location: on the side table,navigate to on the side table -> count magazine at on the side table -> navigate to operator -> tell
intent: answer location: kitchen filter: waving content: question person: person,navigate to kitchen -> detect_person with pose waving at kitchen -> navigate to operator -> answer_question
intent: tell object: remote location: on the side table,navigate to on the side table -> count remote at on the side table -> navigate to operator -> tell
intent: tell location: laundry room filter: wearing person: blue blouses,navigate to laundry room -> detect_person with wearing at laundry room -> describe_property -> navigate to operator -> tell
intent: tell location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest at on the counter -> describe_property -> navigate to operator -> tell
intent: tell location: hallway content: gesture person: person,navigate to hallway -> tell gesture
intent: tell object: snack location: on the desk,navigate to on the desk -> count snack at on the desk -> navigate to operator -> tell
intent: take location: patio person: Alice,navigate to patio -> grasp
intent: bring object: can location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver can to me
intent: follow location: study filter: lying person: person,navigate to study -> guide_person person to study
intent: bring object: phone location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver phone to me
intent: answer location: kitchen filter: pointing content: question person: person,navigate to kitchen -> detect_person with pose pointing at kitchen -> navigate to operator -> answer_question
intent: tell object: magazines location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest magazines at on the garden table -> describe_property -> navigate to operator -> tell
intent: follow location: bedroom person: Alice,navigate to bedroom -> guide_person Alice to bedroom
intent: go location: terrace intent: look object: cans intent: get intent: deliver location: entrance filter: standing recipient: person,navigate to terrace -> detect_object cans -> grasp -> navigate to entrance -> deliver cans to person
intent: tell location: side table content: pose person: person,navigate to side table -> tell pose
intent: find object: magazine location: garage intent: fetch intent: bring location: garage filter: left arm recipient: person,navigate to garage -> detect_object magazine at garage -> navigate to garage -> deliver magazine to person
intent: say location: dining area filter: pointing content: time person: person,navigate to dining area -> greet_person person with pointing at dining area
intent: tell location: on the garden table attribute: heaviest,navigate to on the garden table -> detect_object heaviest at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell location: hallway filter: wearing person: blue shirts,navigate to hallway -> detect_person with wearing at hallway -> describe_property -> navigate to operator -> tell
intent: navigate location: balcony intent: find object: cups intent: get intent: deliver location: patio filter: lying recipient: person,navigate to balcony -> detect_object cups -> grasp -> navigate to patio -> deliver cups to person
intent: meet location: workshop person: Karen intent: locate location: garage,navigate to workshop -> meet_person Karen at workshop -> navigate to garage
intent: navigate location: hallway intent: find object: snacks intent: get intent: put location: on the desk,navigate to hallway -> detect_object snacks -> grasp -> navigate to on the desk -> place at on the desk
intent: tell location: kitchen content: name person: person,navigate to kitchen -> tell name
intent: tell location: on the desk attribute: heaviest,navigate to on the desk -> detect_object heaviest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: patio content: name person: person,navigate to patio -> tell name
intent: tell object: toy location: on the counter,navigate to on the counter -> count toy at on the counter -> navigate to operator -> tell
intent: escort location: entrance filter: wearing person: black t shirt,navigate to entrance -> guide_person black t shirt to entrance
intent: get object: books location: counter intent: deliver recipient: me,navigate to counter -> grasp -> deliver books to me
intent: guide location: storage room person: Olivia,navigate to storage room -> guide_person Olivia to storage room
intent: tell object: cup location: on the garden table,navigate to on the garden table -> count cup at on the garden table -> navigate to operator -> tell
intent: guide location: side table filter: wearing person: red jacket,navigate to side table -> guide_person red jacket to side table
intent: bring object: snack location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver snack to me
intent: escort location: side table person: Pablo,navigate to side table -> guide_person Pablo to side table
intent: bring object: tablet location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver tablet to me
intent: tell location: workshop content: gesture person: person,navigate to workshop -> tell gesture
intent: locate object: toys location: study intent: get intent: give location: study recipient: Karen,navigate to study -> detect_object toys at study -> grasp -> navigate to study -> deliver toys to Karen
intent: lead location: bedroom filter: sitting person: person,navigate to bedroom -> guide_person person to bedroom
intent: go location: shelf intent: look object: bowl intent: take intent: put location: on the desk,navigate to shelf -> detect_object bowl -> grasp -> navigate to on the desk -> place at on the desk
intent: tell location: study filter: wearing person: gray sweaters,navigate to study -> detect_person with wearing at study -> describe_property -> navigate to operator -> tell
intent: bring object: pen location: desk recipient: me,navigate to desk -> grasp -> navigate to desk -> deliver pen to me
intent: answer location: garage filter: pointing content: question person: person,navigate to garage -> detect_person with pose pointing at garage -> navigate to operator -> answer_question
intent: give object: mug location: desk recipient: me,navigate to desk -> grasp -> navigate to desk -> deliver mug to me
intent: follow location: dining area person: Sam,navigate to dining area -> guide_person Sam to dining area
intent: get object: glasses location: counter intent: put location: on the desk,navigate to counter -> grasp -> navigate to on the desk -> place at on the desk
intent: escort location: dining area filter: lying person: person,navigate to dining area -> guide_person person to dining area
intent: tell object: plate location: on the garden table,navigate to on the garden table -> count plate at on the garden table -> navigate to operator -> tell
intent: meet location: garden person: Tom intent: look location: office,navigate to garden -> meet_person Tom at garden -> navigate to office
intent: give object: plate location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver plate to me
intent: tell location: patio content: pose person: person,navigate to patio -> tell pose
intent: find object: bottles location: workshop intent: get intent: deliver recipient: me,navigate to workshop -> detect_object bottles at workshop -> grasp -> deliver bottles to me
intent: look location: garage filter: sitting person: person intent: answer content: question,navigate to garage -> detect_person with pose sitting at garage -> navigate to operator -> answer_question
intent: find object: cups location: closet intent: fetch intent: bring recipient: me,navigate to closet -> detect_object cups at closet -> deliver cups to me
intent: follow location: study person: Karen,navigate to study -> guide_person Karen to study
intent: tell object: mugs location: on the counter attribute: lightest,navigate to on the counter -> detect_object lightest mugs at on the counter -> describe_property -> navigate to operator -> tell
intent: guide location: kitchen filter: standing person: person,navigate to kitchen -> guide_person person to kitchen
intent: tell object: cup location: on the shelf,navigate to on the shelf -> count cup at on the shelf -> navigate to operator -> tell
intent: follow location: storage room person: Eva,navigate to storage room -> guide_person Eva to storage room
intent: navigate location: bedroom intent: locate object: remotes intent: fetch intent: deliver location: garden recipient: Olivia,navigate to bedroom -> detect_object remotes -> navigate to garden -> deliver remotes to Olivia
intent: go location: garage intent: meet person: Eva intent: tell content: time,navigate to garage -> meet_person Eva -> tell time
intent: tell object: remote location: on the shelf,navigate to on the shelf -> count remote at on the shelf -> navigate to operator -> tell
intent: take location: living room filter: wearing person: black jacket,navigate to living room -> grasp
intent: tell object: glass location: on the side table,navigate to on the side table -> count glass at on the side table -> navigate to operator -> tell
intent: meet location: bathroom person: Karen intent: say content: day,navigate to bathroom -> meet_person Karen at bathroom -> greet_person
intent: go location: study intent: look object: glasses intent: grasp intent: deliver recipient: me,navigate to study -> detect_object glasses -> grasp -> deliver glasses to me
intent: lead location: office filter: wearing person: orange t shirt,navigate to office -> guide_person orange t shirt to office
intent: get object: toys location: desk intent: put location: on the garden table,navigate to desk -> grasp -> navigate to on the garden table -> place at on the garden table
intent: locate location: garage filter: left arm person: person intent: tell content: day tomorrow,navigate to garage -> detect_person with left arm at garage -> tell day tomorrow
